region,energy_ratio,elevation,2,1,0
OA,1.639344262295082,2.0,-0.2779241278543627,3.6613207593241497,-20.400084221754014
OA,1.639344262295082,5.0,-91.00226908401869,1374.9246311834295,-5201.214158053643
OA,1.639344262295082,6.0,-0.04600181954053846,0.841141625249648,-8.187610211418615
OA,1.639344262295082,7.0,-0.4854290526394763,6.397281234387475,-24.19390624835512
OA,1.6666666666666667,2.0,0.10268106102963621,-1.5300893676144258,-0.16792282637166428
OA,1.6666666666666667,4.0,0.16311160898453303,-2.3740034991214847,1.7415441605639597
OA,1.6666666666666667,5.0,-0.017779227653935047,0.2856101724980855,-3.170684235375557
OA,1.6666666666666667,6.0,-0.0970415388333987,1.2329439138375733,-5.54408169032255
OA,1.6666666666666667,7.0,-0.3803882002372248,4.773260328335071,-16.93752144952561
OA,1.6666666666666667,8.0,-0.31619180944208314,3.696626581343101,-13.848712591782295
OA,1.694915254237288,1.0,-0.043782549449656455,0.8425325861535575,-9.265717514362212
OA,1.694915254237288,3.0,-0.08545371506189303,1.1409371291035666,-9.62075360420745
OA,1.694915254237288,4.0,0.02556455556050561,-0.4027886958970231,0.05332303961432755
OA,1.694915254237288,5.0,-0.011827279705230998,0.05929209204694283,-0.9411598146900342
OA,1.694915254237288,6.0,-0.055005954053076594,0.6141556579644398,-2.9256084265296822
OA,1.694915254237288,7.0,-0.16114975926628758,1.9208950852791935,-7.299669232816754
OA,1.694915254237288,8.0,-0.393752710286653,4.784279623881146,-16.614664316975606
OA,1.694915254237288,9.0,-0.41680294183999833,4.430215089186612,-15.231674494831601
OA,1.7241379310344827,0.0,-0.027276981642961794,0.5108270854734372,-7.742634224820847
OA,1.7241379310344827,1.0,0.026780870980088266,-0.5516292285504014,-3.3651269751882067
OA,1.7241379310344827,2.0,-0.05591197875057055,1.0096793258749384,-7.0807755203183165
OA,1.7241379310344827,3.0,0.0020303787034178524,-0.08551335630509567,-0.5354761120834586
OA,1.7241379310344827,4.0,0.00034192300784551953,-0.13995296330348855,0.08644667988175143
OA,1.7241379310344827,5.0,-0.008266386279610526,0.0004947583052594772,-0.44519692308823455
OA,1.7241379310344827,6.0,-0.024109887350112276,0.18867661949498174,-1.2276622105229478
OA,1.7241379310344827,7.0,-0.0749930305539389,0.7894484188891906,-3.2867527351680472
OA,1.7241379310344827,8.0,-0.32266491737370484,3.896782752643789,-13.37770436462517
OA,1.7241379310344827,9.0,-0.38496828910328384,4.55887589326876,-15.90666026070177
OA,1.7241379310344827,10.0,-7.75436344739845,11.973146385021618,164.01333052889942
OA,1.7543859649122806,0.0,0.013971145030039076,-0.1572944436573411,-2.879921967378167
OA,1.7543859649122806,1.0,-0.015263825456162833,0.29925450820581034,-2.646687470359907
OA,1.7543859649122806,2.0,-0.005774135317525389,0.013590424017212211,-0.5581060191394618
OA,1.7543859649122806,3.0,0.011072882326027298,-0.26723615426692215,0.6233677986434755
OA,1.7543859649122806,4.0,0.00993618779268288,-0.2622476655882613,0.6735530971355371
OA,1.7543859649122806,5.0,-0.006008404380616544,-0.0006098271959195255,-0.33185360251586987
OA,1.7543859649122806,6.0,-0.0004520240825400146,-0.12878028581506157,0.04616049883807454
OA,1.7543859649122806,7.0,-0.03422880558623245,0.27951986834976106,-1.4546350151100782
OA,1.7543859649122806,8.0,-0.11309183808395787,1.2488899291452635,-4.755155555467486
OA,1.7543859649122806,9.0,-0.36230405329464643,4.335084100834763,-14.770403707218058
OA,1.7543859649122806,10.0,-0.6965111960805428,8.10640778394486,-26.309889310409496
OA,1.7857142857142858,-1.0,0.01878255480545228,-0.2052497472515855,-2.2341881585865497
OA,1.7857142857142858,0.0,-0.0023657024286644675,0.02930974977798957,-0.8305137338888253
OA,1.7857142857142858,1.0,0.01296540736337666,-0.27016076449195325,0.6637975077161603
OA,1.7857142857142858,2.0,0.01346070128463376,-0.28322177595354736,0.769815230220642
OA,1.7857142857142858,3.0,0.011080790902284436,-0.24298996597943429,0.6518976222712669
OA,1.7857142857142858,4.0,0.021398848630080194,-0.40971021974614685,1.3144759635484382
OA,1.7857142857142858,5.0,0.005190476339452937,-0.13795567421895655,0.23464810527581598
OA,1.7857142857142858,6.0,0.01809091126206753,-0.38048387488250257,1.0891927031479265
OA,1.7857142857142858,7.0,-0.010282728651167652,0.00262953192681378,-0.44659387157507313
OA,1.7857142857142858,8.0,-0.06106924665740629,0.6428134177382603,-2.767139068777089
OA,1.7857142857142858,9.0,-0.22463339309326244,2.76248034709382,-10.112940863107617
OA,1.7857142857142858,10.0,-0.481041609633429,6.598196956450025,-27.68400363936034
OA,1.8181818181818181,-2.0,-0.04369022404306558,0.8676944762550758,-5.24686888674778
OA,1.8181818181818181,-1.0,0.009961214917311403,-0.20400994980525067,0.4268160224936782
OA,1.8181818181818181,0.0,0.016068229011576285,-0.2985318897181122,0.8522499520050754
OA,1.8181818181818181,1.0,0.0031412897315446268,-0.11986774916771767,0.3006574883301284
OA,1.8181818181818181,2.0,0.0037831892310764025,-0.1255727376981091,0.3505647243622946
OA,1.8181818181818181,3.0,-0.0016045841813143603,-0.03516360888563025,0.021913099311146284
OA,1.8181818181818181,4.0,0.004644585561686763,-0.131755966700086,0.401587379638623
OA,1.8181818181818181,5.0,-0.006661988081197102,0.03999612358513062,-0.2473631517277191
OA,1.8181818181818181,6.0,0.0018620569660884978,-0.09262641507874486,0.07460340480482762
OA,1.8181818181818181,7.0,-0.005321373319985808,0.007923619455061618,-0.5630169610401119
OA,1.8181818181818181,8.0,-0.02520680616557222,0.29497737176571337,-2.001104987599466
OA,1.8181818181818181,9.0,-0.07242351223847701,1.0905502158091336,-6.156803994379091
OA,1.8518518518518519,-3.0,1.2630062569594637e-06,-0.0071199008914381075,-0.48895761885781075
OA,1.8518518518518519,-2.0,0.009576442566100834,-0.19657058944473937,0.5388071171061759
OA,1.8518518518518519,-1.0,0.010364402338757465,-0.20352388926779488,0.6253161954644345
OA,1.8518518518518519,0.0,0.011260259122975,-0.22333115920203128,0.7605102778487637
OA,1.8518518518518519,1.0,0.004909028146578005,-0.12812817308753177,0.4399289317684101
OA,1.8518518518518519,2.0,0.0016209372444551656,-0.07682040833304538,0.2655137035465057
OA,1.8518518518518519,3.0,-0.007119654485892812,0.05216379748800261,-0.2014400829582209
OA,1.8518518518518519,4.0,-0.0021050541307413998,-0.011957373039452887,-0.06950542260487765
OA,1.8518518518518519,5.0,-0.007475086821238345,0.07557457687251748,-0.4868440266088695
OA,1.8518518518518519,6.0,-0.008904596002037548,0.12643359570633844,-0.9065156962060724
OA,1.8518518518518519,7.0,-0.00483768717292672,0.10867807274462865,-1.2667141049847013
OA,1.8518518518518519,8.0,-0.009977035912102354,0.2265269971554683,-2.4697210873807474
OA,1.8867924528301887,-5.0,-0.04922486813138991,0.9561389330112988,-5.561053813283337
OA,1.8867924528301887,-4.0,0.004935621152893709,-0.11226171900495582,0.19728346281691755
OA,1.8867924528301887,-3.0,0.006501703633529848,-0.14350447662249033,0.4608675446900816
OA,1.8867924528301887,-2.0,0.004886062218870886,-0.12303338208341552,0.46699330965611363
OA,1.8867924528301887,-1.0,0.004624028303972122,-0.12109258285393432,0.495800983565947
OA,1.8867924528301887,0.0,-0.0022685773721889237,-0.01959465355156548,0.14694958850347684
OA,1.8867924528301887,1.0,-0.005236364424768814,0.03338939861052276,-0.11931715699431909
OA,1.8867924528301887,2.0,-0.009527984499156207,0.10541897254076732,-0.4849968971194709
OA,1.8867924528301887,3.0,-0.0023684544060891093,0.004545434782581728,-0.26349173232191236
OA,1.8867924528301887,4.0,0.0088025725594566,-0.12947715250473535,-0.03369655808088361
OA,1.8867924528301887,5.0,-0.0027140701024501983,0.06940170944708188,-1.0074939518174246
OA,1.8867924528301887,6.0,-0.0034519261737727854,0.09776014426003038,-1.3974963156106643
OA,1.8867924528301887,7.0,-0.020924837354816483,0.37941396027063,-2.8943714292976557
OA,1.8867924528301887,8.0,-0.056170496623544494,1.1097279501874477,-9.408083589861626
OA,1.9230769230769231,-6.0,-0.0012178604259636349,-0.024242839691551783,-0.18785532703238234
OA,1.9230769230769231,-5.0,0.010128766222406084,-0.1954213048547354,0.6513676916290225
OA,1.9230769230769231,-4.0,0.0033178625693270243,-0.08843340047210163,0.35384699332772884
