region,energy_ratio,elevation,2,1,0,min_esa_voltage,max_esa_voltage
OA,1.6260162601626016,2.0,-0.33389082394910097,4.538089950812088,-24.248292257740452,132.27513227513228,8465.608465608466
OA,1.6260162601626016,5.5,0.2897354149919754,-4.013782398334536,6.296786419053568,132.27513227513228,8465.608465608466
OA,1.6260162601626016,6.0,0.31420314885890577,-4.3845134679079845,8.297437195234881,132.27513227513228,8465.608465608466
OA,1.6260162601626016,6.5,0.26180460927284355,-3.933848228487604,8.337414880657555,132.27513227513228,8465.608465608466
OA,1.6260162601626016,7.0,0.056897653362237705,-1.1736485953710152,-0.22083047963773894,132.27513227513228,8465.608465608466
OA,1.6260162601626016,7.5,0.09582138987057548,-1.7510449532300887,1.0925441165745955,132.27513227513228,8465.608465608466
OA,1.639344262295082,2.0,-0.21002406536651466,2.6231900637794703,-16.57235733963116,132.27513227513228,8465.608465608466
OA,1.639344262295082,5.5,-0.09861552134978424,1.6887874887862147,-12.220098799713153,132.27513227513228,8465.608465608466
OA,1.639344262295082,6.0,-0.15620142427007028,2.4176231937440793,-13.338413290364354,132.27513227513228,8465.608465608466
OA,1.639344262295082,6.5,-0.2733966100173102,3.77263026226286,-16.428540213553976,132.27513227513228,8465.608465608466
OA,1.639344262295082,7.0,-0.4365948694686944,5.757073734583747,-22.177876202770634,132.27513227513228,8465.608465608466
OA,1.639344262295082,7.5,-0.4558453802763639,6.049596114223569,-23.910723578633352,132.27513227513228,8465.608465608466
OA,1.6528925619834711,1.5,0.1443055673245406,-2.052358598451049,-0.29900912179198,132.27513227513228,8465.608465608466
OA,1.6528925619834711,2.0,0.2935768524422465,-4.294711980469689,8.2154512616369,132.27513227513228,8465.608465608466
OA,1.6528925619834711,2.5,-0.10118569980478552,1.3814546968368149,-10.913011349155099,132.27513227513228,8465.608465608466
OA,1.6528925619834711,3.5,1.1105485014219876,-16.570430907713842,49.397408901650934,132.27513227513228,8465.608465608466
OA,1.6528925619834711,4.0,0.969239272162243,-14.42420063835053,42.53148211239326,132.27513227513228,8465.608465608466
OA,1.6528925619834711,4.5,0.4186603292977795,-6.090220794836291,16.693624450176298,132.27513227513228,8465.608465608466
OA,1.6528925619834711,5.0,0.21969752054297365,-3.113443726097807,7.067078365867948,132.27513227513228,8465.608465608466
OA,1.6528925619834711,5.5,-0.041224052478151196,0.5523935865325591,-4.433698547393875,132.27513227513228,8465.608465608466
OA,1.6528925619834711,6.0,-0.09832736032099008,1.2925575681884462,-6.529616648607872,132.27513227513228,8465.608465608466
OA,1.6528925619834711,6.5,-0.1884956961715806,2.4559246467504874,-10.226793631956888,132.27513227513228,8465.608465608466
OA,1.6528925619834711,7.0,-0.3944089468106321,5.029098051391426,-18.428898400382963,132.27513227513228,8465.608465608466
OA,1.6528925619834711,7.5,-0.33394953712091957,4.162172629721333,-15.919923072571784,132.27513227513228,8465.608465608466
OA,1.6528925619834711,8.0,-0.07753007555695202,0.39966868503943176,-3.756962888905886,132.27513227513228,8465.608465608466
OA,1.6666666666666667,1.5,-0.0011426601961804948,0.05361586568928055,-6.557715586578407,132.27513227513228,8465.608465608466
OA,1.6666666666666667,2.0,0.09625162264104915,-1.3996918005800425,-0.8142943301893173,132.27513227513228,8465.608465608466
OA,1.6666666666666667,2.5,0.5206987567478081,-7.66843814853142,19.72376203568662,132.27513227513228,8465.608465608466
OA,1.6666666666666667,3.5,1.1105487658778652,-16.570434691409247,50.0988687957843,132.27513227513228,8465.608465608466
OA,1.6666666666666667,4.0,0.13012112891116417,-1.798885289709407,-0.7269423129919954,132.27513227513228,8465.608465608466
OA,1.6666666666666667,4.5,0.12296372283519877,-1.7169298849922667,2.5379359353281212,132.27513227513228,8465.608465608466
OA,1.6666666666666667,5.0,-0.012329939411567228,0.20566016906802592,-2.898719353674261,132.27513227513228,8465.608465608466
OA,1.6666666666666667,5.5,-0.08214696147107751,1.11886401652449,-5.5308169203392445,132.27513227513228,8465.608465608466
OA,1.6666666666666667,6.0,-0.08581960945954126,1.0781381780329853,-5.060500545544695,132.27513227513228,8465.608465608466
OA,1.6666666666666667,6.5,-0.14095295477841407,1.7762249815685784,-7.417404362602076,132.27513227513228,8465.608465608466
OA,1.6666666666666667,7.0,-0.3286311168755981,4.102978357187313,-14.866548155793787,132.27513227513228,8465.608465608466
OA,1.6666666666666667,7.5,-0.31521379873232414,3.878782130112195,-14.399769152008608,132.27513227513228,8465.608465608466
OA,1.6666666666666667,8.0,-0.28486509196900744,3.3020620201769004,-12.664255794704937,132.27513227513228,8465.608465608466
OA,1.6666666666666667,8.5,0.18524954034637447,-3.43222236757188,9.321067527077641,132.27513227513228,8465.608465608466
OA,1.680672268907563,0.5,0.29337246429154845,-4.034929341772253,5.2921869250556375,132.27513227513228,8465.608465608466
OA,1.680672268907563,1.0,0.2482937399582734,-3.3620605820860656,3.6667342405277665,132.27513227513228,8465.608465608466
OA,1.680672268907563,1.5,-0.07777684600980064,1.0525544950174575,-9.14715452095012,132.27513227513228,8465.608465608466
OA,1.680672268907563,2.0,0.07143424865452055,-1.0289738509854702,-2.8142843981976795,132.27513227513228,8465.608465608466
OA,1.680672268907563,2.5,0.46819599282459556,-6.9121054471375745,16.943845183802786,132.27513227513228,8465.608465608466
OA,1.680672268907563,3.0,0.1853204147365377,-2.7302875254557515,2.2003177698067566,132.27513227513228,8465.608465608466
OA,1.680672268907563,3.5,0.42504004990738864,-6.2531305841799405,18.251507305996256,132.27513227513228,8465.608465608466
OA,1.680672268907563,4.0,0.13490010122241494,-1.9615863546568308,4.358875723875848,132.27513227513228,8465.608465608466
OA,1.680672268907563,4.5,0.013526621988966848,-0.25240863350547615,-0.7235143820106316,132.27513227513228,8465.608465608466
OA,1.680672268907563,5.0,-0.02536584210948823,0.3026216427612825,-2.2993910460410096,132.27513227513228,8465.608465608466
OA,1.680672268907563,5.5,-0.06549962586606287,0.8341838021007949,-3.9935251629450876,132.27513227513228,8465.608465608466
OA,1.680672268907563,6.0,-0.07077507726615623,0.8542572952240806,-4.006188605136165,132.27513227513228,8465.608465608466
OA,1.680672268907563,6.5,-0.0964461276372948,1.149888416977236,-5.051288833902032,132.27513227513228,8465.608465608466
OA,1.680672268907563,7.0,-0.1941014894023273,2.3474030433605497,-8.929428775014072,132.27513227513228,8465.608465608466
OA,1.680672268907563,7.5,-0.21758364241048742,2.613001773227471,-9.970579493427753,132.27513227513228,8465.608465608466
OA,1.680672268907563,8.0,-0.30732313911280495,3.6607835385908434,-13.4592486929258,132.27513227513228,8465.608465608466
OA,1.680672268907563,8.5,-0.1824082386008241,1.8366612098096295,-7.7161556119129635,132.27513227513228,8465.608465608466
OA,1.680672268907563,9.0,0.546691550036249,-9.161251247272013,29.5874033885478,132.27513227513228,8465.608465608466
OA,1.694915254237288,0.5,0.24863519072626425,-3.3671540369356077,3.6927143606885195,132.27513227513228,8465.608465608466
OA,1.694915254237288,1.0,0.0020028256933897204,0.1274492632027045,-6.594091038605246,132.27513227513228,8465.608465608466
OA,1.694915254237288,1.5,-0.046716511440201516,0.7271819681854603,-8.648814589143054,132.27513227513228,8465.608465608466
OA,1.694915254237288,2.5,-0.022165739904521982,0.10212007502469214,-6.181709679759826,132.27513227513228,8465.608465608466
OA,1.694915254237288,3.0,-0.8685802500242799,11.881112823580157,-44.83167712566369,132.27513227513228,8465.608465608466
OA,1.694915254237288,3.5,0.0429728445155236,-0.6543469286621999,0.19841523094508345,132.27513227513228,8465.608465608466
OA,1.694915254237288,4.0,0.03207506615215183,-0.501552118268915,0.40688318737958373,132.27513227513228,8465.608465608466
OA,1.694915254237288,4.5,1.2212407287964171e-05,-0.07698289389291685,-0.7273826887341472,132.27513227513228,8465.608465608466
OA,1.694915254237288,5.0,-0.005460097402790382,-0.026646411304654005,-0.6878289215163744,132.27513227513228,8465.608465608466
OA,1.694915254237288,5.5,-0.03499856868863824,0.37579481157626504,-2.112988560889708,132.27513227513228,8465.608465608466
OA,1.694915254237288,6.0,-0.05049414886764403,0.5617904373106626,-2.816753623390512,132.27513227513228,8465.608465608466
OA,1.694915254237288,6.5,-0.07805776940491282,0.8967635060121872,-4.004841692135246,132.27513227513228,8465.608465608466
OA,1.694915254237288,7.0,-0.1482968535763578,1.7402623218035602,-6.703404594070076,132.27513227513228,8465.608465608466
OA,1.694915254237288,7.5,-0.17177792508491652,2.0012013994874964,-7.69839835645671,132.27513227513228,8465.608465608466
OA,1.694915254237288,8.0,-0.32147220434178003,3.855143389342064,-13.743163158137458,132.27513227513228,8465.608465608466
OA,1.694915254237288,8.5,-0.2989367397424094,3.456303009651223,-12.678096430998568,132.27513227513228,8465.608465608466
OA,1.694915254237288,9.0,-0.4705809438553603,5.114705804479154,-17.367079608555983,132.27513227513228,8465.608465608466
OA,1.694915254237288,9.5,1.1728410699340517,-18.657668276269245,63.011149582920076,132.27513227513228,8465.608465608466
OA,1.7094017094017093,-0.5,0.30576869662803247,-4.216224566357335,5.780446201919389,132.27513227513228,8465.608465608466
OA,1.7094017094017093,0.0,0.2293956931332371,-3.155602084212536,3.2906979791993027,132.27513227513228,8465.608465608466
OA,1.7094017094017093,0.5,-0.08239761091514881,1.2990673198931497,-10.735935548386234,132.27513227513228,8465.608465608466
OA,1.7094017094017093,1.0,0.013958097404684332,-0.230349132775514,-4.6878075221126405,132.27513227513228,8465.608465608466
OA,1.7094017094017093,1.5,0.20224048297840022,-2.6721556891271003,3.3627315727022733,132.27513227513228,8465.608465608466
OA,1.7094017094017093,2.0,0.19239949063550998,-2.4991603568611014,3.211793325031924,132.27513227513228,8465.608465608466
OA,1.7094017094017093,2.5,0.19969288189219592,-2.8633282056547866,6.934162980092999,132.27513227513228,8465.608465608466
OA,1.7094017094017093,3.0,0.014876919322951598,-0.2738108081758389,-0.5916637217031507,132.27513227513228,8465.608465608466
OA,1.7094017094017093,3.5,-0.0061931286467546715,-0.0023500243726443616,-0.9955602115521138,132.27513227513228,8465.608465608466
OA,1.7094017094017093,4.0,0.004691680618338317,-0.16990416112133055,-0.14739058740857208,132.27513227513228,8465.608465608466
OA,1.7094017094017093,4.5,-0.00097466641937762,-0.09584145249705674,-0.3224221034185867,132.27513227513228,8465.608465608466
OA,1.7094017094017093,5.0,-0.0077427583389572145,0.001225605538961626,-0.622288843999983,132.27513227513228,8465.608465608466
OA,1.7094017094017093,5.5,-0.022771654825122237,0.20171376871881325,-1.3805506275922372,132.27513227513228,8465.608465608466
OA,1.7094017094017093,6.0,-0.03027449522619426,0.27870611607299767,-1.70986093923338,132.27513227513228,8465.608465608466
OA,1.7094017094017093,6.5,-0.05330050442561107,0.5580773984425498,-2.701332349287309,132.27513227513228,8465.608465608466
OA,1.7094017094017093,7.0,-0.08591472461919644,0.9219454958532534,-3.9062006395779916,132.27513227513228,8465.608465608466
OA,1.7094017094017093,7.5,-0.12265901681218103,1.3669837134576204,-5.465889758945066,132.27513227513228,8465.608465608466
OA,1.7094017094017093,8.0,-0.2824664811871575,3.34656444969837,-11.824117353205587,132.27513227513228,8465.608465608466
OA,1.7094017094017093,8.5,-0.28992015304810337,3.412257681440019,-12.33408140513783,132.27513227513228,8465.608465608466
OA,1.7094017094017093,9.0,-0.3603089360467595,4.14967710605117,-14.782113640172355,132.27513227513228,8465.608465608466
OA,1.7094017094017093,9.5,0.08090863529870759,-2.171899894802099,5.972944412350001,132.27513227513228,8465.608465608466
OA,1.7241379310344827,-0.5,0.2945069052496766,-4.047874657251201,5.9009525773533404,132.27513227513228,8465.608465608466
OA,1.7241379310344827,0.0,-0.1173069211460197,1.7678366645585974,-11.675282741805137,132.27513227513228,8465.608465608466
OA,1.7241379310344827,0.5,-0.230949810479243,3.1153774178864353,-14.907765792999196,132.27513227513228,8465.608465608466
OA,1.7241379310344827,1.0,-0.14990547516849273,1.9437959108200675,-11.45797689036524,132.27513227513228,8465.608465608466
OA,1.7241379310344827,1.5,0.1505680667562334,-1.9257962298393352,1.5717138387054026,132.27513227513228,8465.608465608466
OA,1.7241379310344827,2.0,-0.09728760713106319,1.5868860534998008,-8.875482286063985,132.27513227513228,8465.608465608466
OA,1.7241379310344827,2.5,-0.02178801672171795,0.2651665832504939,-2.211016041063769,132.27513227513228,8465.608465608466
OA,1.7241379310344827,3.0,0.012553455451938127,-0.23987624256721732,-0.010056003469983841,132.27513227513228,8465.608465608466
OA,1.7241379310344827,3.5,0.0055098587221613805,-0.1804723752562732,0.033180534304721926,132.27513227513228,8465.608465608466
OA,1.7241379310344827,4.0,0.009731902974587196,-0.2715790985028021,0.502895708721538,132.27513227513228,8465.608465608466
OA,1.7241379310344827,4.5,0.00595969804463243,-0.21154436874865096,0.28485343263096097,132.27513227513228,8465.608465608466
OA,1.7241379310344827,5.0,0.0006049815336010067,-0.12728922232198875,-0.01893455254161895,132.27513227513228,8465.608465608466
OA,1.7241379310344827,5.5,-0.007289803018745938,-0.024107233525527613,-0.4744197970768552,132.27513227513228,8465.608465608466
OA,1.7241379310344827,6.0,-0.019179219084050597,0.12515282664818955,-1.0564403635527553,132.27513227513228,8465.608465608466
OA,1.7241379310344827,6.5,-0.033798331074423316,0.28918315286445195,-1.6560825493086688,132.27513227513228,8465.608465608466
OA,1.7241379310344827,7.0,-0.06585088200446174,0.6702750911662073,-2.947581606063954,132.27513227513228,8465.608465608466
OA,1.7241379310344827,7.5,-0.1140192827069331,1.2876976221440104,-5.11325772116785,132.27513227513228,8465.608465608466
OA,1.7241379310344827,8.0,-0.27152985798942253,3.2198553616269985,-11.232152189966108,132.27513227513228,8465.608465608466
